customerNumber,customerName,contactLastName,contactFirstName,phone,country,city,addressLine1,postalCode
103,"Atelier graphique",Schmitt,"Carine ",40.32.2555,France,Nantes,"54 rue Royale",44000
112,"Signal Gift Stores",King,Jean,7025551838,USA,"Las Vegas","8489 Strong St.",83030
114,"Australian Collectors, Co.",Ferguson,Peter,"03 9520 4555",Australia,Melbourne,"636 St Kilda Road",3004
119,"La Rochelle Gifts",Labrune,"Janine ",40.67.8555,France,Nantes,"67 rue des Cinquante Otages",44000
121,"Baane Mini Imports",Bergulfsen,"Jonas ","07-98 9555",Norway,Stavern,"Erling Skakkes gate 78",4110
124,"Mini Gifts Distributors Ltd.",Nelson,Susan,4155551450,USA,"San Rafael","5677 Strong St.",97562
125,"Havel & Zbyszek Co",Piestrzeniewicz,"Zbyszek ","(26) 642-7555",Poland,Warszawa,"ul. Filtrowa 68",1012
128,"Blauer See Auto, Co.",Keitel,Roland,"+49 69 66 90 2555",Germany,Frankfurt,"Lyonerstr. 34",60528
129,"Mini Wheels Co.",Murphy,Julie,6505555787,USA,"San Francisco","5557 North Pendale Street",94217
131,"Land of Toys Inc.",Lee,Kwai,2125557818,USA,NYC,"897 Long Airport Avenue",10022
141,"Euro+ Shopping Channel",Freyre,"Diego ","(91) 555 94 44",Spain,Madrid,"C/ Moralzarzal, 86",28034
144,"Volvo Model Replicas, Co",Berglund,"Christina ","0921-12 3555",Sweden,Luleå,"Berguvsvägen  8",95822
145,"Danish Wholesale Imports",Petersen,"Jytte ","31 12 3555",Denmark,Kobenhavn,"Vinbæltet 34",1734
146,"Saveley & Henriot, Co.",Saveley,"Mary ",78.32.5555,France,Lyon,"2, rue du Commerce",69004
148,"Dragon Souveniers, Ltd.",Natividad,Eric,"+65 221 7555",Singapore,Singapore,"Bronz Sok.",079903
151,"Muscle Machine Inc",Young,Jeff,2125557413,USA,NYC,"4092 Furth Circle",10022
157,"Diecast Classics Inc.",Leong,Kelvin,2155551555,USA,Allentown,"7586 Pompton St.",70267
161,"Technics Stores Inc.",Hashimoto,Juri,6505556809,USA,Burlingame,"9408 Furth Circle",94217
166,"Handji Gifts& Co",Victorino,Wendy,"+65 224 1555",Singapore,Singapore,"106 Linden Road Sandown",069045
